SA2_MAINCODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_NS,Total_dwelings,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_P,Age_5_14_yr_P,Age_15_19_yr_P,Age_20_24_yr_P,Age_25_34_yr_P,Age_35_44_yr_P,Age_45_54_yr_P,Age_55_64_yr_P,Age_65_74_yr_P,Age_75_84_yr_P,Age_85ov_P,P_Emp_FullT_Tot,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_Tot,P_Tot_Unemp_Tot,STATE_CODE_2016
213041358,164,1603,2440,776,395,204,5582,8547,9001,17551,1645,2806,1189,1197,2872,2606,2000,1794,1051,316,72,4894,2320,280,147,606,2
213041359,28,166,181,94,90,35,596,1775,1272,3040,94,218,119,306,691,571,442,307,213,61,10,409,250,35,32,61,2
213041360,89,1143,2701,846,439,128,5349,9460,9761,19224,1790,3847,1342,999,2677,4068,2229,1178,696,328,74,5690,2633,252,208,636,2
213041461,84,418,588,221,107,61,1478,2268,2487,4751,306,707,313,311,568,691,663,500,313,225,152,1303,621,47,60,186,2
213041462,15,325,864,258,109,40,1625,3020,3045,6072,726,1088,407,349,1015,1268,650,359,161,45,12,1764,847,78,49,218,2
213041463,124,1568,2920,813,363,155,5942,9857,10046,19900,1585,3605,1452,1133,2686,3934,2734,1579,818,320,42,6102,2827,282,182,711,2
213051361,208,1691,2349,1011,663,143,6060,9626,9601,19224,1238,2529,1500,1529,2741,2470,3061,2391,1196,433,132,5753,3008,281,208,779,2
213051362,338,2197,2422,826,416,192,6398,9711,9767,19477,1364,2438,1250,1431,2930,2521,2445,2410,1839,660,193,5129,2749,237,200,904,2
213051363,215,1105,1048,281,100,101,2849,4651,4255,8907,859,915,449,710,2336,1470,890,703,349,181,44,2661,1261,119,123,434,2
213051365,169,2994,4550,1217,519,281,9733,17377,17409,34784,4219,5966,2052,1934,7617,6402,3240,1822,1033,418,87,10277,4412,447,405,1408,2
213051366,116,2116,3013,675,247,236,6399,12421,10992,23412,3142,3452,963,1363,6596,4376,1807,1064,485,135,27,6881,2697,288,298,925,2
213051368,291,1435,1477,481,308,149,4134,5574,5765,11333,655,1209,646,691,1621,1457,1583,1480,1049,659,287,3268,1635,158,111,391,2
213051369,207,2472,3100,897,367,195,7237,11462,11813,23273,2448,3937,1406,1388,4529,3897,2528,1706,980,369,96,6887,2980,324,199,965,2
213051464,51,935,1898,526,200,71,3670,6149,6050,12197,1285,1925,719,744,2123,2339,1682,878,393,86,21,4006,1628,147,100,436,2
213051465,136,2162,3376,827,331,130,6962,11517,11661,23180,2367,4051,1399,1110,3552,4765,3063,1481,875,411,97,7368,3099,290,185,877,2
213051466,64,1347,2230,434,142,83,4291,7276,7161,14433,1920,2428,633,607,3086,3391,1301,656,341,56,10,4873,1673,211,124,558,2
213051467,577,2571,2240,715,333,276,6707,9703,10163,19861,1474,2573,1223,1452,3079,2632,2586,2262,1402,771,406,4954,2595,218,189,928,2
213051468,185,1308,1594,572,355,128,4141,5910,5902,11809,755,1458,740,889,1879,1519,1747,1545,832,360,91,3720,1785,200,111,472,2
214011370,303,2531,2904,896,420,286,7347,10180,10529,20711,1558,2616,1264,1358,3197,3036,2873,2247,1394,738,420,6461,2983,329,193,689,2
214011371,992,3819,2972,731,324,386,9228,10888,11674,22570,1369,2280,1267,1626,3433,2972,2953,2945,2108,1158,456,5982,3496,346,187,885,2
214011372,600,3069,2492,624,232,390,7401,9414,9874,19289,1309,2144,980,1212,2914,2455,2387,2216,2026,1159,495,4505,2492,281,182,772,2
214011373,266,1857,2812,855,522,213,6522,8736,9466,18199,1031,2308,1204,978,1609,2247,2705,2344,1877,1184,719,5158,3192,300,116,460,2
214011374,192,2211,3410,1357,898,221,8285,11643,12197,23836,1555,3091,1673,1662,3142,3165,3724,2881,1904,824,219,7808,4253,409,212,615,2
214011375,530,2684,2452,560,235,288,6751,8108,8355,16463,1082,1639,726,883,2413,2544,2211,2099,1626,881,346,4844,2361,288,140,579,2
214011376,59,849,2183,629,343,88,4151,6455,6626,13077,1109,1933,897,795,1776,2151,1981,1367,764,246,50,4396,2134,240,113,365,2
214021377,134,1516,1865,478,215,180,4389,5318,5709,11024,484,1111,553,433,936,1186,1466,1627,1865,1008,374,2566,1815,196,88,246,2
214021378,25,405,822,343,199,78,1876,2695,2683,5369,214,601,275,221,258,496,842,1051,884,392,145,1245,1061,104,62,80,2
214021379,374,2719,2947,981,596,341,7961,10975,11039,22016,1296,2735,1423,1544,2547,2557,2844,2948,2461,1285,378,5823,3367,389,189,614,2
214021380,516,3680,3609,947,395,364,9510,11169,12827,23989,1184,2641,1259,1003,2158,2894,3044,2959,3541,2314,998,5838,3758,384,192,543,2
214021381,121,1338,2824,1008,516,145,5951,8664,9220,17888,938,2839,1321,792,937,2232,2880,2312,2059,1129,443,4746,3208,217,122,370,2
214021382,129,1725,3014,895,431,186,6385,8971,9578,18548,1091,2885,1239,740,1226,2529,2893,2166,2074,1175,535,4863,3317,296,115,350,2
214021383,254,2371,2737,710,297,333,6696,8467,8654,17123,827,1791,727,592,1373,1895,2151,2582,3114,1574,501,3420,2883,291,153,371,2
214021384,595,3534,2992,786,317,494,8727,9844,11104,20943,1001,2004,904,868,1865,2020,2435,2823,3213,2466,1350,3893,3107,327,175,482,2
214021385,180,1615,2463,1047,806,181,6288,8767,9318,18089,982,2222,1256,1212,2197,2106,2710,2533,1691,830,339,5549,3276,296,175,426,2
215011386,259,1126,1028,352,148,156,3076,4464,3830,8297,364,845,461,451,972,979,1184,1149,1006,602,285,1879,1167,146,58,201,2
215011387,23,260,408,209,193,52,1144,1610,1533,3146,210,381,135,86,269,360,401,587,433,214,66,825,486,75,35,54,2
215011388,453,2315,2344,771,341,253,6481,7806,8448,16250,1035,2035,961,980,2010,1788,1983,2110,1665,1144,543,4257,2654,312,147,411,2
215011389,24,236,463,230,261,40,1246,1779,1629,3412,187,475,218,130,283,402,528,572,364,172,79,1035,604,84,41,65,2
215011390,135,837,928,408,335,129,2769,3422,3463,6887,318,757,401,293,606,636,968,1122,903,564,333,1763,923,116,64,143,2
215011391,105,437,510,195,142,64,1464,1669,1686,3352,156,331,179,125,272,295,478,573,540,271,126,826,533,62,35,72,2
215011392,209,1073,1115,441,217,175,3231,3990,4106,8093,366,866,482,385,795,875,1162,1256,1058,580,273,1972,1177,177,79,192,2
215011393,40,296,384,199,163,48,1139,1401,1361,2763,159,314,134,109,231,252,417,432,388,235,85,790,418,62,34,53,2
